Swab.162.2	Swab.162.3	Swab.162.4	Swab.162.5	Swab.162.6	Swab.162.7	Swab.162.8	Swab.162.9	Swab.162.11	Swab.162.12	Swab.162.13	Swab.162.14	Swab.162.15	Swab.162.16	Swab.162.17	Swab.162.18	Swab.162.19	Swab.162.20	Swab.162.21	Swab.162.22	Swab.162.23	Swab.162.24	Swab.162.25	Swab.162.26	Swab.162.27	Swab.162.28	Swab.162.29	Swab.162.30	Swab.162.31	Swab.162.32	Swab.162.33	Swab.162.34	Swab.162.35	Swab.162.36	Swab.162.37	Swab.162.38	Swab.162.39	Swab.162.40	Swab.162.41	Swab.162.42	Swab.162.43	Swab.162.44	Swab.162.45	Swab.162.46	Swab.162.47	Swab.162.48	Swab.162.49	Swab.162.50	Swab.162.51	Swab.162.52	Swab.162.53	Swab.162.54	Swab.162.55	Swab.162.56	Swab.162.57	Swab.162.58	Swab.162.59	Swab.162.60
Swab.162.19	0.834040018760474	0.832607393821476	0.835784801641381	0.827152507673194	0.83907955695426	0.827741832354498	0.862358707898384	0.890141492418192	0.830758644788277	0.85688233668208	0.848367622595065	0.827201915814489	0.846434901776792	0.895851557802696	0.813557200027438	0.825972955675104	0	0.831307767070365	0.868795158574493	0.835547033180858	0.833662907302573	0.829154185900484	0.848743474357712	0.854447886055016	0.844703265718778	0.820643347499271	0.835900384832487	0.838476698632767	0.829182234236137	0.85112184321888	0.871455520697932	0.832319290986926	0.825057524866045	0.807896497165694	0.845225600838648	0.836045870389266	0.805557233253349	0.865147674146435	0.822094163846614	0.834842352152362	0.8394229026009	0.846430357715545	0.874433713938809	0.82038980558008	0.818887603655844	0.816136524320054	0.819066268291971	0.853954486155555	0.893624498205477	0.850706846318905	0.917681623428644	0.858991185830028	0.893036753105163	0.868193063779868	0.850988497678804	0.857366074126716	0.824701858893153	0.837650058514175
Swab.162.20	0.844640882046537	0.874529038680242	0.852060969709041	0.864205875400666	0.874954220446932	0.878697384609165	0.870344265198007	0.879709953753483	0.804424174597094	0.845455743364964	0.824773493885081	0.855738310532917	0.800483693540902	0.849015881889633	0.803689027579186	0.830963503674193	0.831307767070365	0	0.820419562747646	0.794247532038054	0.878757550513722	0.853056446671253	0.879176822697924	0.882458244503501	0.874473609527268	0.868335461506149	0.870503632362701	0.874829077437993	0.869177663316905	0.877406389509261	0.854998689890572	0.88642534763467	0.837322470670399	0.825839093194067	0.834110754194347	0.82450650848396	0.836310514058504	0.853322668555597	0.837694845967195	0.842030352098391	0.83715080411499	0.858658579183386	0.864161858048897	0.833196914609635	0.824419117746301	0.844638860840411	0.846635009434441	0.851108036344934	0.894674194793119	0.883123544868805	0.908201867054311	0.87593464383264	0.876687231695187	0.851041290402063	0.86512057465369	0.867444388809334	0.843063256772223	0.852930406016736
Swab.162.21	0.892350761103739	0.903608240803002	0.890534080620471	0.883957108469852	0.908589028849842	0.906334238369041	0.902413923442614	0.89733963026323	0.846000005423162	0.852504024050532	0.835691119338011	0.885872993371089	0.837175997803479	0.828251836575279	0.857208328303448	0.867329233300896	0.868795158574493	0.820419562747646	0	0.813572158869877	0.894125927481609	0.880551593395695	0.903462409543596	0.90913734194272	0.896788990905979	0.903703416364848	0.899091848544479	0.908208250692851	0.893599201443077	0.908518954561656	0.856430417296462	0.909855652166193	0.868159887479126	0.857574241811439	0.873558982827727	0.860616048169121	0.864439380474531	0.878293485344942	0.863649413588251	0.866808486777066	0.857244261546677	0.879014652730522	0.87008087931123	0.858971540846527	0.846960514800219	0.874930841068405	0.889037975465089	0.894493015844721	0.908594017493627	0.915757773335037	0.89746401761978	0.906176292471947	0.889656408265297	0.877432749922883	0.904359287051262	0.91008645018926	0.886127926811929	0.904936376978391
Swab.162.22	0.876268400826224	0.881740981166227	0.883366050935799	0.870457519189589	0.883641202760374	0.888254454511316	0.897543284000521	0.893190854977526	0.808451969162386	0.842419597343313	0.818705257111378	0.880266231680666	0.807637591658462	0.843071520852764	0.826489701365486	0.862551336342657	0.835547033180858	0.794247532038054	0.813572158869877	0	0.88566398395362	0.872214775639325	0.884433422070066	0.905751466138545	0.883924013199818	0.885131654065379	0.886763827078469	0.904822839598454	0.880532651971176	0.887084991815258	0.852127424937994	0.896958883469248	0.852387038191402	0.830363130750065	0.863613275119706	0.834378249052861	0.855817240249787	0.851001987908764	0.870533023990586	0.845452076778282	0.837186649534074	0.861531584267677	0.868316262185597	0.834003670520293	0.841706250655125	0.85741659149875	0.87782084665195	0.886422125716117	0.90090653984105	0.900937538121131	0.888797850977107	0.896224360682199	0.882148105334443	0.867529828920903	0.894285820487342	0.888150054710123	0.871793870221225	0.886199342181287
Swab.162.23	0.827748303893953	0.824093387380097	0.823908356951584	0.819408910469525	0.80878284397544	0.791643070871855	0.850921694250675	0.891553157787743	0.853117486018057	0.886161796252658	0.860125940439913	0.80554208763132	0.876850195246009	0.925269836662702	0.841079918998737	0.805944216054541	0.833662907302573	0.878757550513722	0.894125927481609	0.88566398395362	0	0.784507991860721	0.816183440878961	0.848482305811772	0.826120201043406	0.808081270098093	0.781639550596176	0.818137752870367	0.807522409165886	0.814630175089137	0.899832873430422	0.793323059953295	0.834119252933959	0.845446237055464	0.875964739817953	0.860770439870594	0.833023982696855	0.887312050451197	0.827194817646794	0.86683995660826	0.846635207789752	0.848043833154241	0.904818216568303	0.862791823794637	0.848635522303516	0.81118323531522	0.807324917172824	0.873660754744304	0.920560624285921	0.839949445776339	0.928846252494776	0.84514075387595	0.905742574747046	0.8987783848178	0.851667110617732	0.822110089114979	0.82573839353467	0.851780379954511
Swab.162.24	0.789583455759273	0.802586023840158	0.804138927372333	0.818239954533838	0.792187366379453	0.789628856811759	0.840910643982683	0.878302461552615	0.834688987227875	0.879802276673252	0.857354628405072	0.795012389468807	0.856257333835186	0.917349881722883	0.827006865645225	0.795571257341315	0.829154185900484	0.853056446671253	0.880551593395695	0.872214775639325	0.784507991860721	0	0.820088319870629	0.831476272831989	0.830459053918244	0.802684518477946	0.777518899832934	0.812863474658157	0.797863625784573	0.796589147023037	0.869977482240555	0.796506638584575	0.850708322435785	0.837308342340379	0.839673239418987	0.856482551079392	0.830423637860004	0.885166302872017	0.821645171197839	0.84737682081951	0.847060921912992	0.857402328725581	0.882867528016277	0.855444974057007	0.844063878082577	0.808549886453336	0.800541238208459	0.851788369266455	0.908183371594651	0.816524205216476	0.921140013690157	0.815036302792679	0.900338757952846	0.873903993122585	0.821959670566699	0.816203562025213	0.812852403405757	0.833821988564098
Swab.162.25	0.841231962750695	0.847642771822136	0.854279265145428	0.800098014092083	0.811065991446488	0.802014257737341	0.833271418625418	0.839652536903188	0.8585201816151	0.911343066855498	0.885256960516263	0.814607861635087	0.881604864158518	0.918157213346865	0.856770503731585	0.82721799732145	0.848743474357712	0.879176822697924	0.903462409543596	0.884433422070066	0.816183440878961	0.820088319870629	0	0.807423220109633	0.78933424340566	0.821106229784195	0.810078774379447	0.83712701858444	0.79059850051098	0.817144444497945	0.896076996695333	0.820663969873581	0.846565672833928	0.852821873364825	0.868933452132114	0.859052033663542	0.845695249236896	0.874189192335436	0.83940292703111	0.863583194569801	0.863471171943139	0.856695596109149	0.8890010306765	0.866247713814994	0.856300274043678	0.830853144108022	0.828383556314566	0.879375216770382	0.909146718454157	0.835402010325097	0.920474528448545	0.866008296970857	0.899062957901738	0.884783818343649	0.860244513134526	0.851498395596992	0.849767739585176	0.851838080147956
Swab.162.26	0.839655153598461	0.836045779421268	0.847247785666357	0.796329838442223	0.812411921146133	0.80561367121747	0.851230188705687	0.836406749200931	0.890412367022188	0.924131171178936	0.888632815858187	0.847279552176127	0.89529293523133	0.940046898049013	0.870956430175743	0.846023582009269	0.854447886055016	0.882458244503501	0.90913734194272	0.905751466138545	0.848482305811772	0.831476272831989	0.807423220109633	0	0.794620063950437	0.815122738464225	0.827180696374261	0.827585084283713	0.796375189605902	0.815310031230196	0.902710250645794	0.839848186331225	0.868156715836746	0.882824723274345	0.878733307589712	0.886297267482716	0.884052108498288	0.902470275643839	0.853953977661481	0.872275389182322	0.866048276326105	0.875743438961089	0.908929092843203	0.892863958647417	0.874568464527939	0.854398506434423	0.836057467337827	0.87299367924896	0.912163710731738	0.836868818423871	0.931723553520897	0.858345831830602	0.909091706133437	0.889912129886673	0.855918695729846	0.843156688708458	0.850803207873019	0.86360759974586
Swab.162.27	0.838190995649482	0.837332809494369	0.841956979673093	0.784909943697471	0.826699022140344	0.802038334064248	0.824747615200622	0.806138183421993	0.86199064942989	0.903859343621578	0.886867285191765	0.833827920938904	0.885254801613978	0.914673246095992	0.864657990533806	0.843030353218659	0.844703265718778	0.874473609527268	0.896788990905979	0.883924013199818	0.826120201043406	0.830459053918244	0.78933424340566	0.794620063950437	0	0.815917967532846	0.823053241698322	0.839548986678731	0.792462315079843	0.818873574354199	0.889060133008659	0.814627974308533	0.84975609564833	0.869390029138975	0.866413950573414	0.858898155756546	0.859284386056342	0.882012781730006	0.851567296549416	0.869060969751753	0.857030244763958	0.865488718956608	0.891060083767524	0.86438444568292	0.85923303608756	0.833408439800974	0.82923760505941	0.874357926929402	0.908301477580587	0.837951116840533	0.922557716382999	0.866112587324403	0.905339965174297	0.887737503832995	0.86054687164702	0.84132125897545	0.845447592194976	0.844681203099823
Swab.162.28	0.809598459795418	0.798219225458196	0.800060901891661	0.801049424344421	0.783758328270896	0.785985753674821	0.851331524776599	0.887014656226228	0.866742764150229	0.891775273977127	0.878478820944702	0.795818850371692	0.870666791794448	0.936012114800507	0.852301000524806	0.795256495227795	0.820643347499271	0.868335461506149	0.903703416364848	0.885131654065379	0.808081270098093	0.802684518477946	0.821106229784195	0.815122738464225	0.815917967532846	0	0.784067475765397	0.804892357684288	0.799234081888409	0.796465496782659	0.897143590369665	0.770135988093491	0.841497416146949	0.847199261244436	0.850757021347137	0.863027980258155	0.83364430779958	0.882454716625765	0.806857102238301	0.861665576398236	0.846474402847879	0.859837614922314	0.900989481506721	0.859144775720186	0.849976448904996	0.814952998618516	0.787994383355319	0.84684473109929	0.915312822505196	0.807843687960742	0.925936610282318	0.814815596884672	0.89932852860518	0.884265471460621	0.82007645777906	0.806523016437815	0.810260304485598	0.825579513545208
